button,address,command
power,0xB649,0xE51A
input,0xB649,0xEE11
profile,0xB649,0xDB24
menu,0xB649,0xA35C
back,0xB649,0xBD42
up,0xB649,0xE718
down,0xB649,0xEF10
left,0xB649,0xA857
right,0xB649,0xB04F
enter,0xB649,0xAC53
aux1,0xB649,0xAC53
aux2,0xB649,0xC639
aux3,0xB649,0xC53A
1,0xB649,0xF40B
2,0xB649,0xF807
3,0xB649,0xFC03
4,0xB649,0xF50A
5,0xB649,0xF906
6,0xB649,0xFD02
7,0xB649,0xF609
8,0xB649,0xFA05
9,0xB649,0xFE01
10,0xB649,0xDA25
11,0xB649,0xD926
12,0xB649,0xD827
